,Condition,Drug,Indication,Type,Effective,EaseOfUse,Satisfaction
1628,hypercholesterolemia,Cholestyramine-Aspartame,On Label,RX,3.89,4.11,3.61
1629,hypercholesterolemia,Evolocumab,On Label,RX,3.79,3.79,2.42
1630,hypercholesterolemia,Niacin,On Label,RX,3.19,3.56,3.13
1631,hypercholesterolemia,Rosuvastatin,On Label,RX,3.2,4.25,2.9
1632,hypercholesterolemia,Niacin,On Label,RX,2.64,3.09,2.09
1633,hypercholesterolemia,Ezetimibe-Simvastatin,On Label,RX,4.64,4.5,3.79
1634,hypercholesterolemia,Colestipol,On Label,RX,4.54,4.38,4.5
1636,hypercholesterolemia,Cholestyramine (With Sugar),On Label,RX,4.3,4.35,4.1
1637,hypercholesterolemia,Ezetimibe-Simvastatin,On Label,RX,4.4,4.53,3.67
1638,hypercholesterolemia,Lovastatin,On Label,RX,3.25,4.31,2.88
1639,hypercholesterolemia,Cholestyramine-Aspartame,On Label,RX,4.56,4.25,4.5
1640,hypercholesterolemia,Fluvastatin,On Label,RX,3.71,4.36,3.21
1641,hypercholesterolemia,Fenofibrate,On Label,RX,1.0,1.0,1.0
1642,hypercholesterolemia,Fluvastatin,On Label,RX,2.8,3.8,2.7
1643,hypercholesterolemia,Fenofibrate,On Label,RX,3.3,4.0,2.8
1644,hypercholesterolemia,Niacin,On Label,RX,4.0,4.43,4.29
1645,hypercholesterolemia,Fenofibrate Micronized,On Label,RX,3.67,4.33,3.67
1646,hypercholesterolemia,Fenofibrate Nanocrystallized,On Label,RX,3.6,3.4,3.2
1647,hypercholesterolemia,Cholestyramine-Aspartame,On Label,RX,4.43,3.86,4.0
1648,hypercholesterolemia,Alirocumab,On Label,RX,4.29,4.43,3.86
1649,hypercholesterolemia,Amlodipine-Atorvastatin,On Label,RX,4.0,4.0,3.75
1650,hypercholesterolemia,Fenofibric Acid,On Label,RX,3.0,5.0,2.33
1651,hypercholesterolemia,"Fenofibrate Micronized, Fenofibrate",On Label,RX,5.0,5.0,4.5
1652,hypercholesterolemia,Fenofibric Acid (Choline),On Label,RX,1.5,1.5,1.0
1653,hypercholesterolemia,Niacin,On Label,OTC,3.0,3.0,3.0
1654,hypercholesterolemia,Pitavastatin Calcium,On Label,RX,3.67,2.67,3.0
1655,hypercholesterolemia,Fenofibrate Nanocrystallized,On Label,RX,5.0,3.0,3.0
1656,hypercholesterolemia,Lovastatin,On Label,RX,3.5,3.5,4.0
1657,hypercholesterolemia,Fluvastatin,On Label,RX,4.5,5.0,3.5
1659,hypercholesterolemia,Niacin,On Label,RX/OTC,4.5,3.0,4.5
1660,hypercholesterolemia,Colestipol,On Label,RX,4.0,5.0,5.0
1661,hypercholesterolemia,Evolocumab,On Label,RX,4.5,4.5,4.0
1662,hypercholesterolemia,Evolocumab,On Label,RX,5.0,5.0,5.0
1663,hypercholesterolemia,Lovastatin,On Label,RX,3.0,3.0,3.0
1664,hypercholesterolemia,Niacin,On Label,OTC,5.0,2.0,3.0
1665,hypercholesterolemia,Niacin,On Label,RX,1.0,1.0,1.0
1666,hypertension,Lisinopril,On Label,RX,3.4,4.0,2.72
1668,hypertension,Atenolol,On Label,RX,3.74,4.29,3.35
1669,hypertension,Nebivolol,On Label,RX,3.28,3.97,2.66
1670,hypertension,Valsartan,On Label,RX,3.55,4.14,3.04
1671,hypertension,Hydrochlorothiazide,On Label,RX,3.3,3.96,2.77
1672,hypertension,Amlodipine,On Label,RX,3.23,3.89,2.56
1673,hypertension,Metoprolol Succinate,On Label,RX,3.21,3.83,2.63
1674,hypertension,Amlodipine,On Label,RX,3.31,3.95,2.65
1675,hypertension,Metoprolol Succinate,On Label,RX,3.52,4.05,3.07
1676,hypertension,Olmesartan,On Label,RX,3.75,4.19,3.11
1677,hypertension,Losartan,On Label,RX,2.98,3.74,2.49
1678,hypertension,Metoprolol Tartrate,On Label,RX,3.21,3.84,2.67
1679,hypertension,Lisinopril-Hydrochlorothiazide,On Label,RX,3.63,4.02,2.75
1680,hypertension,Clonidine Hcl,On Label,RX,3.47,3.68,2.76
1682,hypertension,Valsartan-Hydrochlorothiazide,On Label,RX,3.85,4.19,3.29
1683,hypertension,Spironolactone,On Label,RX,3.88,4.36,3.5
1684,hypertension,Propranolol,On Label,RX,3.5,4.23,3.17
1688,hypertension,Carvedilol,On Label,RX,3.11,3.67,2.65
1689,hypertension,Carvedilol,On Label,RX,3.25,3.65,2.72
1690,hypertension,Amlodipine-Olmesartan,On Label,RX,3.7,4.18,3.14
1691,hypertension,Amlodipine-Valsartan,On Label,RX,3.71,4.08,2.87
1692,hypertension,Amlodipine-Benazepril,On Label,RX,3.93,4.34,3.29
1693,hypertension,Furosemide,On Label,RX,3.05,4.16,2.97
1695,hypertension,Verapamil,On Label,RX,3.24,4.04,2.88
1698,hypertension,Furosemide,On Label,RX,3.21,4.01,2.99
1700,hypertension,Losartan-Hydrochlorothiazide,On Label,RX,3.71,4.19,3.13
1701,hypertension,Propranolol,On Label,RX,3.71,4.32,3.3
1702,hypertension,Aliskiren,On Label,RX,3.09,4.03,2.63
1703,hypertension,Enalapril Maleate,On Label,RX,3.56,4.23,3.06
1705,hypertension,Losartan-Hydrochlorothiazide,On Label,RX,3.43,4.04,2.83
1706,hypertension,Telmisartan,On Label,RX,3.69,3.89,3.17
1707,hypertension,Diltiazem Hcl,On Label,RX,3.05,3.85,2.53
1713,hypertension,Metoprolol Tartrate,On Label,RX,3.43,4.03,2.94
1714,hypertension,Ramipril,On Label,RX,3.92,4.43,3.5
1715,hypertension,Triamterene-Hydrochlorothiazid,On Label,RX,3.88,4.24,3.45
1716,hypertension,Telmisartan-Hydrochlorothiazid,On Label,RX,3.94,3.97,3.4
1717,hypertension,Irbesartan-Hydrochlorothiazide,On Label,RX,3.95,4.42,3.59
1718,hypertension,Labetalol,On Label,RX,3.05,3.72,2.59
1719,hypertension,Terazosin,On Label,RX,3.43,4.14,3.03
1720,hypertension,Amlodipine-Benazepril,On Label,RX,3.68,4.06,3.08
1721,hypertension,Hydralazine,On Label,RX,2.57,3.1,2.02
1722,hypertension,Candesartan,On Label,RX,4.05,4.27,3.44
1723,hypertension,Benazepril,On Label,RX,3.57,4.01,3.16
1724,hypertension,Doxazosin,On Label,RX,3.09,4.46,2.81
1726,hypertension,Olmesartan-Amlodipin-Hcthiazid,On Label,RX,4.05,4.25,3.3
1727,hypertension,Prazosin,On Label,RX,3.53,4.06,3.38
1728,hypertension,Valsartan,On Label,RX,3.07,3.8,2.6
1729,hypertension,Nifedipine,On Label,RX,3.29,3.71,2.63
1731,hypertension,Diltiazem Hcl,On Label,RX,2.83,3.88,2.52
1732,hypertension,Spironolactone,On Label,RX,3.95,4.4,3.25
1733,hypertension,Bisoprolol Fumarate,On Label,RX,3.1,3.97,2.72
1734,hypertension,Bisoprolol-Hydrochlorothiazide,On Label,RX,3.92,4.4,3.52
1735,hypertension,Triamterene-Hydrochlorothiazid,On Label,RX,3.83,4.46,3.31
1736,hypertension,Azilsartan Med-Chlorthalidone,On Label,RX,3.68,3.84,2.53
1737,hypertension,Chlorthalidone,On Label,RX,3.02,3.9,2.25
1738,hypertension,Diltiazem Hcl,On Label,RX,2.9,3.83,2.52
1739,hypertension,Azilsartan Medoxomil,On Label,RX,3.84,4.07,2.91
1740,hypertension,Guanfacine,On Label,RX,3.39,3.94,3.16
1742,hypertension,Atenolol,On Label,RX,4.02,4.51,3.51
1743,hypertension,Carvedilol Phosphate,On Label,RX,2.84,3.61,2.42
1744,hypertension,Atenolol-Chlorthalidone,On Label,RX,3.98,4.29,3.09
1745,hypertension,Lisinopril,On Label,RX,3.55,4.23,2.52
1746,hypertension,Nadolol,On Label,RX,4.0,4.25,3.44
1747,hypertension,Benazepril-Hydrochlorothiazide,On Label,RX,3.76,4.24,3.04
1748,hypertension,Clonidine Hcl,On Label,RX,3.32,3.92,2.48
1749,hypertension,Terazosin,On Label,RX,3.24,3.86,2.97
1750,hypertension,Doxazosin,On Label,RX,3.2,3.73,2.83
1751,hypertension,Nifedipine,On Label,RX,3.83,4.22,3.02
1752,hypertension,Amlodipine-Valsartan-Hcthiazid,On Label,RX,3.98,4.25,3.32
1753,hypertension,Nifedipine,On Label,RX,3.7,3.93,3.0
1754,hypertension,Quinapril,On Label,RX,3.64,4.21,3.4
1755,hypertension,Enalapril Maleate,On Label,RX,3.78,4.39,3.05
1756,hypertension,Lisinopril-Hydrochlorothiazide,On Label,RX,3.77,3.96,2.91
1757,hypertension,Felodipine,On Label,RX,3.64,4.21,3.12
1758,hypertension,Propranolol,On Label,RX,4.22,4.72,4.0
1759,hypertension,Quinapril,On Label,RX,3.84,4.26,3.58
1760,hypertension,Amlodipine-Atorvastatin,On Label,RX,3.56,4.25,3.38
1761,hypertension,Diltiazem Hcl,Off Label,RX,3.55,3.95,2.7
1762,hypertension,Torsemide,On Label,RX,3.85,4.1,3.1
1763,hypertension,Nisoldipine,On Label,RX,3.0,3.65,2.48
1765,hypertension,Trandolapril-Verapamil,On Label,RX,4.26,4.49,3.97
1766,hypertension,Triamterene-Hydrochlorothiazid,On Label,RX,3.46,4.21,3.18
1767,hypertension,Bumetanide,Off Label,RX,3.78,4.17,3.61
1768,hypertension,Telmisartan,On Label,RX,3.61,3.77,3.16
1769,hypertension,Candesartan-Hydrochlorothiazid,On Label,RX,4.34,4.66,4.17
1770,hypertension,Minoxidil,On Label,RX,3.21,3.54,2.89
1771,hypertension,Indapamide,On Label,RX,3.43,4.52,2.9
1772,hypertension,Trandolapril,On Label,RX,4.18,3.91,3.55
1773,hypertension,Perindopril Erbumine,On Label,RX,3.22,3.89,2.67
1774,hypertension,Metolazone,On Label,RX,3.69,4.62,3.31
1775,hypertension,Fosinopril,On Label,RX,3.89,4.74,3.59
1776,hypertension,Prazosin,On Label,RX,4.0,4.33,3.78
1777,hypertension,Bisoprolol Fumarate,On Label,RX,3.76,4.47,3.18
1778,hypertension,Diltiazem Hcl,On Label,RX,3.88,4.13,3.06
1779,hypertension,Hydrochlorothiazide,On Label,RX,4.12,4.41,3.94
1780,hypertension,Irbesartan-Hydrochlorothiazide,On Label,RX,3.38,3.5,2.71
1781,hypertension,Bisoprolol-Hydrochlorothiazide,On Label,RX,3.35,3.87,2.96
1782,hypertension,Lisinopril-Hydrochlorothiazide,On Label,RX,3.7,4.22,3.35
1783,hypertension,Diltiazem Hcl,On Label,RX,3.26,4.16,2.95
1784,hypertension,Nifedipine,On Label,RX,3.91,4.0,3.18
1785,hypertension,Methyldopa,On Label,RX,3.68,3.59,2.86
1786,hypertension,Benazepril-Hydrochlorothiazide,On Label,RX,4.24,4.71,3.29
1787,hypertension,Nebivolol,On Label,RX,4.0,4.29,3.82
1788,hypertension,Clonidine,On Label,RX,3.83,4.17,2.67
1789,hypertension,Eprosartan,On Label,RX,4.75,4.92,4.42
1790,hypertension,Nadolol,On Label,RX,5.0,5.0,5.0
1791,hypertension,Metoprolol Ta-Hydrochlorothiaz,On Label,RX,4.11,4.22,3.94
1792,hypertension,Bumetanide,Off Label,RX,4.0,4.5,3.63
1793,hypertension,Felodipine,On Label,RX,3.95,4.32,3.37
1794,hypertension,Olmesartan,On Label,RX,3.89,4.0,3.32
1795,hypertension,Telmisartan-Amlodipine,On Label,RX,4.4,4.6,4.35
1796,hypertension,Captopril,On Label,RX,3.43,3.5,3.07
1797,hypertension,Isradipine,On Label,RX,3.26,4.32,2.63
1798,hypertension,Benazepril,On Label,RX,3.69,3.75,3.06
1799,hypertension,Spironolacton-Hydrochlorothiaz,On Label,RX,3.27,3.67,3.0
1800,hypertension,Acebutolol,On Label,RX,4.0,4.4,4.4
1801,hypertension,Eplerenone,On Label,RX,3.5,3.5,3.5
1802,hypertension,Enalapril-Hydrochlorothiazide,On Label,RX,4.0,4.44,2.75
1803,hypertension,Pindolol,On Label,RX,4.18,4.36,3.45
1804,hypertension,Nifedipine,On Label,RX,3.85,4.15,3.0
1805,hypertension,Diltiazem Hcl,On Label,RX,4.0,3.73,3.36
1806,hypertension,Diltiazem Hcl,On Label,RX,3.44,4.44,3.33
1807,hypertension,Clonidine,On Label,RX,4.58,4.75,4.17
1808,hypertension,Propranolol,On Label,RX,3.86,5.0,3.29
1809,hypertension,Isradipine,On Label,RX,4.29,4.29,3.29
1810,hypertension,Torsemide,On Label,RX,3.17,3.0,2.67
1811,hypertension,Amlodipine-Valsartan,On Label,RX,4.0,4.2,3.47
1812,hypertension,Diltiazem Hcl,On Label,RX,2.2,4.4,2.4
1813,hypertension,Atenolol-Chlorthalidone,On Label,RX,3.67,4.42,3.25
1814,hypertension,Candesartan,On Label,RX,4.0,4.27,3.36
1815,hypertension,Acebutolol,On Label,RX,3.5,4.25,4.0
1816,hypertension,Ethacrynic Acid,Off Label,RX,4.33,4.0,3.0
1817,hypertension,Clonidine,On Label,RX,4.0,3.67,3.5
1818,hypertension,Atenolol-Chlorthalidone,On Label,RX,3.92,4.5,2.67
1819,hypertension,Hydralazine,On Label,RX,2.0,1.64,1.82
1820,hypertension,Eplerenone,On Label,RX,3.33,4.0,3.11
1821,hypertension,Propranolol-Hydrochlorothiazid,On Label,RX,3.57,4.14,3.29
1822,hypertension,Quinapril-Hydrochlorothiazide,On Label,RX,4.0,4.22,3.22
1823,hypertension,Metolazone,On Label,RX,3.2,3.4,2.2
1824,hypertension,Clonidine Hcl,Off Label,RX,3.67,4.83,3.0
1825,hypertension,Telmisartan-Hydrochlorothiazid,On Label,RX,3.2,3.1,3.0
1826,hypertension,Fosinopril,On Label,RX,4.56,4.67,4.22
1827,hypertension,Perindopril Erbumine,On Label,RX,4.13,4.25,4.13
1828,hypertension,Betaxolol,On Label,RX,5.0,5.0,5.0
1829,hypertension,Nisoldipine,On Label,RX,3.33,4.11,2.67
1831,hypertension,Metoprolol Ta-Hydrochlorothiaz,On Label,RX,4.6,4.8,4.4
1832,hypertension,Diltiazem Hcl,On Label,RX,3.6,4.0,3.0
1833,hypertension,Clonidine,On Label,RX,4.4,4.6,3.8
1834,hypertension,Verapamil,On Label,RX,5.0,5.0,5.0
1835,hypertension,Metoprolol Su-Hydrochlorothiaz,On Label,RX,3.5,3.17,2.5
1836,hypertension,Telmisartan-Amlodipine,On Label,RX,4.14,4.29,4.29
1837,hypertension,Amlodipine-Atorvastatin,On Label,RX,4.0,4.0,3.75
1838,hypertension,Spironolacton-Hydrochlorothiaz,On Label,RX,4.17,3.83,2.67
1839,hypertension,Triamterene,Off Label,RX,3.33,4.0,1.67
1840,hypertension,Amiloride-Hydrochlorothiazide,On Label,RX,2.33,2.33,2.0
1841,hypertension,Verapamil,On Label,RX,4.0,5.0,4.0
1842,hypertension,Amiloride-Hydrochlorothiazide,On Label,RX,2.67,3.0,2.33
1843,hypertension,Labetalol,On Label,RX,3.6,4.4,3.4
1844,hypertension,Trandolapril,On Label,RX,4.0,4.17,3.5
1845,hypertension,Chlorothiazide,On Label,RX,3.8,3.0,3.2
1846,hypertension,Verapamil,On Label,RX,3.67,3.67,3.67
1847,hypertension,Hydralazine,On Label,RX,1.67,1.0,1.0
1848,hypertension,Nifedipine,On Label,RX,4.25,4.5,3.5
1849,hypertension,Verapamil,On Label,RX,4.5,4.5,3.25
1850,hypertension,Moexipril,On Label,RX,4.0,4.25,3.75
1851,hypertension,Indapamide,On Label,RX,3.8,4.6,3.4
1852,hypertension,Hydrochlorothiazide,On Label,RX,3.33,3.67,3.0
1853,hypertension,Amlodipine-Olmesartan,On Label,RX,3.2,4.2,1.8
1854,hypertension,Quinapril-Hydrochlorothiazide,On Label,RX,3.5,4.0,2.25
1855,hypertension,Diltiazem Hcl,On Label,RX,3.67,5.0,3.67
1856,hypertension,Quinapril-Hydrochlorothiazide,On Label,RX,4.5,4.5,4.0
1857,hypertension,Moexipril,On Label,RX,5.0,3.67,3.67
1858,hypertension,Verapamil,On Label,RX,2.5,4.5,3.0
1859,hypertension,Labetalol,On Label,RX,3.25,3.5,3.25
1860,hypertension,Chlorothiazide,On Label,RX,3.0,5.0,3.0
1861,hypertension,Enalapril-Hydrochlorothiazide,On Label,RX,4.25,4.25,4.25
1862,hypertension,Nicardipine,On Label,RX,5.0,5.0,4.0
1863,hypertension,Labetalol,On Label,RX,3.5,4.25,3.5
1864,hypertension,Captopril-Hydrochlorothiazide,On Label,RX,3.67,4.0,3.67
1865,hypertension,Captopril,On Label,RX,2.33,3.33,2.33
1866,hypertension,Fosinopril-Hydrochlorothiazide,On Label,RX,1.5,2.0,1.0
1867,hypertension,Amlodipine-Valsartan-Hcthiazid,On Label,RX,3.5,4.0,3.5
1868,hypertension,Isradipine,On Label,RX,2.67,4.0,2.67
1869,hypertension,Atenolol,On Label,RX,3.67,5.0,3.67
1870,hypertension,Olmesartan-Amlodipin-Hcthiazid,On Label,RX,3.67,5.0,3.67
1871,hypertension,Hydrochlorothiazide,On Label,RX,3.0,4.0,2.0
1872,hypertension,"Triamterene-Hydrochlorothiazid, Trichlormethiazide",On Label,RX,2.0,1.0,1.0
1873,hypertension,Triamterene-Hydrochlorothiazid,On Label,RX,3.0,5.0,3.0
1874,hypertension,Hydrochlorothiazide,On Label,RX,3.0,5.0,2.0
1875,hypertension,Pindolol,On Label,RX,5.0,1.0,1.0
1876,hypertension,Chlorthalidone,On Label,RX,1.0,5.0,1.0
1877,hypertension,Furosemide,On Label,RX,2.0,5.0,1.0
1878,hypertension,Azilsartan Med-Chlorthalidone,On Label,RX,5.0,5.0,5.0
1879,hypertension,Diltiazem Hcl,On Label,RX,4.0,4.0,2.0
1880,hypertension,Nicardipine,On Label,RX,1.0,1.0,1.0
1881,hypertension,Candesartan-Hydrochlorothiazid,On Label,RX,4.5,4.5,4.5
1882,hypertension,Timolol Maleate,On Label,RX,3.0,3.0,3.0
1883,hypertension,Azilsartan Medoxomil,On Label,RX,5.0,5.0,5.0
1884,hypertension,Betaxolol,On Label,RX,4.0,4.0,4.0
1885,hypertension,Methyldopa-Hydrochlorothiazide,On Label,RX,5.0,5.0,5.0
1886,hypertension,Propranolol,On Label,RX,5.0,5.0,5.0
1887,hypertension,Hydrochlorothiazide,On Label,RX,5.0,5.0,4.0
1888,hypertension,Hydrochlorothiazide,On Label,RX,1.0,1.0,1.0
1889,hypertension,Propranolol,On Label,RX,4.0,4.0,5.0
1890,hypertension,Hydrochlorothiazide,On Label,RX,5.0,5.0,5.0
1891,hypertension,Spironolacton-Hydrochlorothiaz,On Label,RX,1.0,4.0,1.0
1892,hypertension,Furosemide,On Label,RX,2.0,2.0,2.0
1893,hypertension,Trandolapril-Verapamil,On Label,RX,4.0,5.0,4.0
1894,hypertension,Triamterene-Hydrochlorothiazid,On Label,RX,2.0,1.0,1.0
1895,hypertension,Propranolol-Hydrochlorothiazid,On Label,RX,2.0,4.0,1.0
1896,hypertension,Spironolacton-Hydrochlorothiaz,On Label,RX,5.0,5.0,5.0
1898,hypertension,Eprosartan,On Label,RX,5.0,5.0,5.0
1899,hypertension,Perindopril-Amlodipine,On Label,RX,5.0,5.0,4.0
1900,hypertension,Methyldopa-Hydrochlorothiazide,On Label,RX,4.0,5.0,3.0
1901,hypertension,Chlorthalidone,On Label,RX,4.0,4.0,4.0
1902,impetigo,Cefuroxime Axetil,On Label,RX,3.15,3.06,2.33
1904,impetigo,Cefuroxime Axetil,On Label,RX,3.23,3.62,2.85
1906,impetigo,"Mupirocin Calcium, Mupirocin",On Label,RX,3.86,4.55,3.79
1908,impetigo,Mupirocin,On Label,RX,3.91,4.36,3.09
1909,impetigo,Retapamulin,On Label,RX,3.88,4.19,3.81
1910,impetigo,Retapamulin,On Label,RX,4.0,4.0,4.0
1911,impetigo,Mupirocin,On Label,RX,1.0,4.0,1.0
1912,Infantile Autism,Risperidone,On Label,RX,2.87,3.28,2.41
1913,Infantile Autism,Risperidone,On Label,RX,2.97,3.72,2.52
1915,Infantile Autism,Paliperidone,Off Label,RX,3.96,4.37,3.65
1916,Infantile Autism,Aripiprazole,On Label,RX,3.0,4.06,2.88
1919,Infantile Autism,Risperidone,On Label,RX,2.0,2.4,1.4
1920,Infantile Autism,Paliperidone,Off Label,RX,4.75,4.75,4.75
1921,Infantile Autism,Aripiprazole,On Label,RX,2.4,2.6,2.4
1922,Influenza,Oseltamivir,On Label,RX,3.53,3.81,3.13
1924,Influenza,Zanamivir,On Label,RX,3.25,3.69,3.0
1925,Influenza,Zanamivir,On Label,RX,1.0,1.0,1.0
1926,meniere's disease,Dimenhydrinate,Off Label,OTC,3.67,4.67,3.67
1927,meniere's disease,Dimenhydrinate,Off Label,OTC,5.0,5.0,5.0
1928,meniere's disease,Dimenhydrinate,Off Label,OTC,5.0,5.0,1.0
1929,meniere's disease,Dimenhydrinate,Off Label,OTC,5.0,5.0,5.0
1930,meniere's disease,Dimenhydrinate,Off Label,OTC,4.0,4.0,4.0
1931,meniere's disease,Dimenhydrinate,Off Label,OTC,3.0,5.0,2.0
1932,oral candidiasis,Fluconazole,On Label,RX,3.32,4.41,2.97
1934,oral candidiasis,Fluconazole,On Label,RX,3.88,4.42,3.47
1936,oral candidiasis,Nystatin,On Label,RX,2.73,3.68,2.52
1938,oral candidiasis,Clotrimazole,On Label,RX,2.45,3.41,2.5
1939,oral candidiasis,Clotrimazole,On Label,RX,3.0,4.71,3.14
1940,oral candidiasis,Nystatin,On Label,RX,4.5,4.5,4.0
1942,oral candidiasis,Nystatin,On Label,RX,5.0,5.0,5.0
1943,oral candidiasis,Nystatin,On Label,RX,1.0,1.0,1.0
1944,oral candidiasis,Nystatin,On Label,RX,2.0,2.0,1.0
1945,Pharyngitis due to Streptococcus Pyogenes,Azithromycin,On Label,RX,3.21,4.01,2.57
1950,Pharyngitis due to Streptococcus Pyogenes,Amoxicillin,On Label,RX,3.04,3.37,2.34
1954,Pharyngitis due to Streptococcus Pyogenes,Cephalexin,On Label,RX,2.93,3.47,2.24
1955,Pharyngitis due to Streptococcus Pyogenes,Cefdinir,On Label,RX,2.36,3.35,1.85
1957,Pharyngitis due to Streptococcus Pyogenes,Cephalexin,On Label,RX,2.85,3.14,2.18
1958,Pharyngitis due to Streptococcus Pyogenes,Clarithromycin,On Label,RX,3.45,3.23,2.63
1959,Pharyngitis due to Streptococcus Pyogenes,Clarithromycin,On Label,RX,3.0,3.4,2.18
1962,Pharyngitis due to Streptococcus Pyogenes,Cefuroxime Axetil,On Label,RX,3.15,3.06,2.33
1964,Pharyngitis due to Streptococcus Pyogenes,Azithromycin,On Label,RX,3.52,4.0,2.93
1965,Pharyngitis due to Streptococcus Pyogenes,Cefdinir,On Label,RX,2.36,3.78,1.69
1967,Pharyngitis due to Streptococcus Pyogenes,Cefuroxime Axetil,On Label,RX,3.23,3.62,2.85
1969,Pharyngitis due to Streptococcus Pyogenes,Azithromycin,On Label,RX,3.56,3.94,2.13
1973,Pharyngitis due to Streptococcus Pyogenes,Penicillin V Potassium,On Label,RX,3.18,3.61,2.82
1974,Pharyngitis due to Streptococcus Pyogenes,Erythromycin,On Label,RX,2.11,2.79,1.32
1976,Pharyngitis due to Streptococcus Pyogenes,Cefixime,On Label,RX,2.73,3.09,1.45
1978,Pharyngitis due to Streptococcus Pyogenes,Cefprozil,On Label,RX,2.75,1.88,2.0
1980,Pharyngitis due to Streptococcus Pyogenes,Cefadroxil,On Label,RX,2.64,3.36,2.07
1981,Pharyngitis due to Streptococcus Pyogenes,Penicillin G Benzathine,On Label,RX,4.07,3.71,3.64
1982,Pharyngitis due to Streptococcus Pyogenes,Amoxicillin,On Label,RX,3.4,4.7,3.2
1983,Pharyngitis due to Streptococcus Pyogenes,Erythromycin,On Label,RX,3.8,4.0,3.4
1984,Pharyngitis due to Streptococcus Pyogenes,Cefprozil,On Label,RX,2.0,4.33,1.33
1986,Pharyngitis due to Streptococcus Pyogenes,Cefditoren Pivoxil,On Label,RX,3.13,3.75,2.63
1987,Pharyngitis due to Streptococcus Pyogenes,Cefpodoxime,On Label,RX,2.67,4.33,2.33
1988,Pharyngitis due to Streptococcus Pyogenes,Cefaclor,On Label,RX,3.33,4.0,2.17
1991,Pharyngitis due to Streptococcus Pyogenes,Erythromycin Stearate,On Label,RX,3.0,2.8,2.2
1992,Pharyngitis due to Streptococcus Pyogenes,Cefadroxil,On Label,RX,2.25,2.25,1.88
1993,Pharyngitis due to Streptococcus Pyogenes,Erythromycin Ethylsuccinate,On Label,RX,3.25,2.75,3.0
1995,Pharyngitis due to Streptococcus Pyogenes,Penicillin G Benzathine,On Label,RX,2.8,1.8,2.4
1996,Pharyngitis due to Streptococcus Pyogenes,Amoxicillin,On Label,RX,2.33,3.67,3.0
1999,Pharyngitis due to Streptococcus Pyogenes,Cefixime,On Label,RX,4.5,4.0,4.5
2000,Pharyngitis due to Streptococcus Pyogenes,Amoxicillin,On Label,RX,3.0,5.0,3.0
2003,Pharyngitis due to Streptococcus Pyogenes,"Penicillin G Benzathin,Procain",On Label,RX,2.67,2.67,2.33
2004,Pharyngitis due to Streptococcus Pyogenes,Azithromycin,On Label,RX,2.5,3.5,1.0
2005,Pharyngitis due to Streptococcus Pyogenes,Erythromycin Stearate,On Label,RX,5.0,4.0,5.0
2006,Pharyngitis due to Streptococcus Pyogenes,Erythromycin Ethylsuccinate,On Label,RX,1.0,1.0,1.0
2007,Pharyngitis due to Streptococcus Pyogenes,Penicillin V Potassium,On Label,RX,4.0,3.0,2.0
2008,Pharyngitis due to Streptococcus Pyogenes,Penicillin V Potassium,On Label,RX,2.0,2.0,3.0
2009,Pharyngitis due to Streptococcus Pyogenes,Erythromycin Ethylsuccinate,On Label,RX,4.0,4.0,4.0
2011,Pharyngitis due to Streptococcus Pyogenes,Cefditoren Pivoxil,On Label,RX,4.0,4.0,2.0
2012,Pharyngitis due to Streptococcus Pyogenes,Erythromycin Stearate,On Label,RX,4.0,4.0,4.0
2013,Pharyngitis due to Streptococcus Pyogenes,Amoxicillin,On Label,RX,4.0,4.0,5.0
2014,Pharyngitis due to Streptococcus Pyogenes,Penicillin V Potassium,On Label,RX,3.0,5.0,3.0
2015,Pharyngitis due to Streptococcus Pyogenes,Cephalexin,On Label,RX,5.0,5.0,5.0
2016,Pharyngitis due to Streptococcus Pyogenes,Amoxicillin,On Label,RX,5.0,5.0,5.0
2020,Pharyngitis due to Streptococcus Pyogenes,Cephalexin,On Label,RX,2.0,5.0,1.0
2021,Pharyngitis due to Streptococcus Pyogenes,Amoxicillin,On Label,RX,5.0,1.0,1.0
2022,Pharyngitis due to Streptococcus Pyogenes,Erythromycin,On Label,RX,5.0,2.0,4.0
2023,Pharyngitis due to Streptococcus Pyogenes,Cefaclor,On Label,RX,4.0,4.0,4.0
2024,Pharyngitis due to Streptococcus Pyogenes,Erythromycin Ethylsuccinate,On Label,RX,1.0,1.0,1.0
2025,Pharyngitis due to Streptococcus Pyogenes,Erythromycin Ethylsuccinate,On Label,RX,3.0,3.0,3.0
2026,Pharyngitis due to Streptococcus Pyogenes,Erythromycin Ethylsuccinate,On Label,RX,5.0,4.0,5.0
2028,prevention of cerebrovascular accident,Simvastatin,On Label,RX,3.06,3.83,2.14
2029,prevention of cerebrovascular accident,Atorvastatin,On Label,RX,3.33,3.84,2.45
2030,prevention of cerebrovascular accident,Rosuvastatin,On Label,RX,3.26,3.82,2.22
2031,prevention of cerebrovascular accident,Simvastatin,On Label,RX,3.14,3.8,2.34
2032,prevention of cerebrovascular accident,Pravastatin,On Label,RX,2.85,3.66,2.07
2033,prevention of cerebrovascular accident,Telmisartan,On Label,RX,3.69,3.89,3.17
2034,prevention of cerebrovascular accident,Lovastatin,Off Label,RX,2.82,3.71,2.18
2035,prevention of cerebrovascular accident,Atorvastatin,On Label,RX,3.38,3.8,2.55
2036,prevention of cerebrovascular accident,Ramipril,On Label,RX,3.92,4.43,3.5
